ele,lat,lon,time,hr,Activity ID
45.0,40.672514,-73.969803,2024-07-16T22:39:27Z,166.0,11906204362
28.2,40.656115,-73.973005,2024-07-16T22:45:12Z,184.0,11906204362
20.8,40.655029,-73.964373,2024-07-16T22:15:40Z,160.0,11906204362
21.4,40.634072,-74.004058,2024-07-16T21:45:46Z,149.0,11906204362
47.5,40.669404,-73.969025,2024-07-16T22:37:11Z,180.0,11906204362
40.5,40.667755,-73.9688,2024-07-16T22:36:10Z,180.0,11906204362
22.3,40.653419,-73.967741,2024-07-16T22:30:34Z,180.0,11906204362
48.9,40.669827,-73.968716,2024-07-16T22:02:32Z,186.0,11906204362
47.5,40.665696,-73.972573,2024-07-16T22:42:09Z,173.0,11906204362
20.8,40.655039,-73.964407,2024-07-16T22:17:48Z,163.0,11906204362
47.0,40.667214,-73.972282,2024-07-16T22:41:42Z,175.0,11906204362
21.3,40.654594,-73.964119,2024-07-16T21:57:22Z,183.0,11906204362
26.9,40.635427,-74.002021,2024-07-16T21:46:16Z,171.0,11906204362
19.0,40.651982,-73.971043,2024-07-16T21:55:52Z,176.0,11906204362
19.0,40.649559,-73.975785,2024-07-16T23:10:13Z,159.0,11906204362
21.5,40.656665,-73.97031,2024-07-16T22:47:43Z,150.0,11906204362
45.8,40.661003,-73.977559,2024-07-16T22:06:35Z,180.0,11906204362
22.3,40.655341,-73.971665,2024-07-16T22:50:00Z,164.0,11906204362
48.7,40.669743,-73.96877,2024-07-16T22:37:23Z,180.0,11906204362
22.6,40.644713,-73.988092,2024-07-16T23:15:12Z,170.0,11906204362
19.8,40.649894,-73.975277,2024-07-16T23:10:03Z,157.0,11906204362
26.0,40.637921,-73.998401,2024-07-16T23:19:52Z,151.0,11906204362
29.1,40.663406,-73.96533,2024-07-16T22:20:55Z,179.0,11906204362
20.8,40.655012,-73.964388,2024-07-16T22:13:31Z,164.0,11906204362
16.8,40.650758,-73.973273,2024-07-16T23:07:56Z,154.0,11906204362
20.8,40.655023,-73.964382,2024-07-16T22:13:53Z,163.0,11906204362
22.1,40.655957,-73.971955,2024-07-16T22:45:40Z,179.0,11906204362
22.2,40.655335,-73.971673,2024-07-16T22:49:44Z,165.0,11906204362
26.7,40.660845,-73.964367,2024-07-16T21:59:04Z,186.0,11906204362
48.1,40.664286,-73.973795,2024-07-16T23:03:00Z,183.0,11906204362
20.2,40.630733,-74.00921,2024-07-16T23:25:06Z,148.0,11906204362
46.4,40.669104,-73.969155,2024-07-16T22:02:10Z,187.0,11906204362
21.2,40.654696,-73.96399,2024-07-16T21:57:24Z,182.0,11906204362
30.4,40.664454,-73.965801,2024-07-16T22:00:16Z,180.0,11906204362
26.6,40.63717,-73.999433,2024-07-16T21:47:44Z,166.0,11906204362
45.7,40.660455,-73.977075,2024-07-16T22:06:47Z,179.0,11906204362
19.1,40.647616,-73.980384,2024-07-16T23:12:52Z,143.0,11906204362
47.8,40.663292,-73.974927,2024-07-16T22:42:59Z,176.0,11906204362
35.3,40.66677,-73.967773,2024-07-16T22:35:28Z,179.0,11906204362
23.3,40.64334,-73.990291,2024-07-16T23:16:08Z,164.0,11906204362
21.6,40.656292,-73.971777,2024-07-16T22:45:47Z,170.0,11906204362
46.6,40.669158,-73.969135,2024-07-16T22:37:02Z,181.0,11906204362
26.0,40.627202,-74.015626,2024-07-16T21:40:06Z,136.0,11906204362
17.9,40.651591,-73.972495,2024-07-16T21:55:27Z,173.0,11906204362
23.4,40.659586,-73.963598,2024-07-16T22:32:55Z,177.0,11906204362
29.2,40.663465,-73.965334,2024-07-16T22:20:56Z,179.0,11906204362
21.3,40.645644,-73.985704,2024-07-16T23:14:20Z,168.0,11906204362
21.1,40.652532,-73.969108,2024-07-16T22:09:15Z,181.0,11906204362
20.9,40.633914,-74.004297,2024-07-16T21:45:41Z,149.0,11906204362
48.3,40.66306,-73.975343,2024-07-16T23:03:33Z,174.0,11906204362
46.0,40.660604,-73.977299,2024-07-16T22:06:43Z,180.0,11906204362
26.3,40.627278,-74.015818,2024-07-16T23:27:45Z,166.0,11906204362
22.5,40.629565,-74.010774,2024-07-16T21:41:47Z,147.0,11906204362
36.9,40.666968,-73.968215,2024-07-16T22:58:42Z,179.0,11906204362
38.7,40.667279,-73.968647,2024-07-16T22:35:55Z,181.0,11906204362
47.6,40.669416,-73.969019,2024-07-16T23:00:00Z,181.0,11906204362
19.5,40.652006,-73.970755,2024-07-16T22:08:52Z,182.0,11906204362
45.3,40.672396,-73.969852,2024-07-16T22:39:54Z,165.0,11906204362
26.2,40.637526,-73.998908,2024-07-16T21:47:51Z,168.0,11906204362
41.5,40.659741,-73.975031,2024-07-16T22:44:27Z,177.0,11906204362
